Time[s], Data[Decimal]
0.606333791666667, 0
0.606387166666667, 1
0.606388000000000, 0
0.606388416666667, 1
0.606389250000000, 0
0.606389666666667, 1
0.606390500000000, 0
0.606390916666667, 1
0.606391750000000, 0
0.606392166666667, 1
0.606393000000000, 0
0.606393416666667, 1
0.606394250000000, 0
0.606394666666667, 1
0.606395500000000, 0
0.606395916666667, 1
0.606396750000000, 0
0.606397166666667, 1
0.606398000000000, 0
0.606398416666667, 1
0.606399250000000, 0
0.606399666666667, 1
0.606400500000000, 0
0.606400916666667, 1
0.606401750000000, 0
0.606402166666667, 1
0.606403000000000, 0
0.606403416666667, 1
0.606404250000000, 0
0.606404666666667, 1
0.606405500000000, 0
0.606405916666667, 1
0.606406750000000, 0
0.606407166666667, 1
0.606408000000000, 0
0.606408416666667, 1
0.606409250000000, 0
0.606409666666667, 1
0.606410500000000, 0
0.606410916666667, 1
0.606411750000000, 0
0.606412166666667, 1
0.606413000000000, 0
0.606413416666667, 1
0.606414250000000, 0
0.606414666666667, 1
0.606415500000000, 0
0.606415916666667, 1
0.606416750000000, 0
0.606417166666667, 1
0.606418000000000, 0
0.606418416666667, 1
0.606419250000000, 0
0.606419666666667, 1
0.606420500000000, 0
0.606420916666667, 1
0.606421750000000, 0
0.606422166666667, 1
0.606423000000000, 0
0.606423416666667, 1
0.606424250000000, 0
0.606424666666667, 1
0.606425500000000, 0
0.606425916666667, 1
0.606426750000000, 0
0.606427166666667, 1
0.606428000000000, 0
0.606428416666667, 1
0.606429250000000, 0
0.606429666666667, 1
0.606430500000000, 0
0.606430916666667, 1
0.606431750000000, 0
0.606432166666667, 1
0.606433000000000, 0
0.606433416666667, 1
0.606434250000000, 0
0.606434666666667, 1
0.606435500000000, 0
0.606435916666667, 1
0.606436750000000, 0
0.606437166666667, 1
0.606438000000000, 0
0.606438416666667, 1
0.606439250000000, 0
0.606439666666667, 1
0.606440500000000, 0
0.606440916666667, 1
0.606441750000000, 0
0.606442166666667, 1
0.606443000000000, 0
0.606443416666667, 1
0.606444250000000, 0
0.606444666666667, 1
0.606445500000000, 0
0.606445916666667, 1
0.606446750000000, 0
0.606447166666667, 1
0.606448000000000, 0
0.606448416666667, 1
0.606449250000000, 0
0.606449666666667, 1
0.606450500000000, 0
0.606450916666667, 1
0.606451750000000, 0
0.606452166666667, 1
