Time[s], Data[Decimal]
0.000000000000000, 0
0.229040291666667, 1
0.229040708333333, 0
0.229041541666667, 1
0.229041958333333, 0
0.229042791666667, 1
0.229043208333333, 0
0.229044041666667, 1
0.229044458333333, 0
0.229045291666667, 1
0.229045708333333, 0
0.229046541666667, 1
0.229046958333333, 0
0.229047791666667, 1
0.229048208333333, 0
0.229049041666667, 1
0.229049458333333, 0
0.229050291666667, 1
0.229051125000000, 0
0.229051541666667, 1
0.229052375000000, 0
0.229052791666667, 1
0.229053625000000, 0
0.229054041666667, 1
0.229054875000000, 0
0.229055291666667, 1
0.229056125000000, 0
0.229056541666667, 1
0.229057375000000, 0
0.229057791666667, 1
0.229058625000000, 0
0.229059041666667, 1
0.229059875000000, 0
0.229060291666667, 1
0.229060708333333, 0
0.229061541666667, 1
0.229061958333333, 0
0.229062791666667, 1
0.229063208333333, 0
0.229064041666667, 1
0.229064458333333, 0
0.229065291666667, 1
0.229065708333333, 0
0.229066541666667, 1
0.229066958333333, 0
0.229067791666667, 1
0.229068208333333, 0
0.229069041666667, 1
0.229069458333333, 0
0.229070291666667, 1
0.229070708333333, 0
0.229071541666667, 1
0.229071958333333, 0
0.229072791666667, 1
0.229073208333333, 0
0.229074041666667, 1
0.229074458333333, 0
0.229075291666667, 1
0.229075708333333, 0
0.229076541666667, 1
0.229076958333333, 0
0.229077791666667, 1
0.229078208333333, 0
0.229079041666667, 1
0.229079458333333, 0
0.229080291666667, 1
0.229081125000000, 0
0.229081541666667, 1
0.229082375000000, 0
0.229082791666667, 1
0.229083625000000, 0
0.229084041666667, 1
0.229084875000000, 0
0.229085291666667, 1
0.229086125000000, 0
0.229086541666667, 1
0.229087375000000, 0
0.229087791666667, 1
0.229088625000000, 0
0.229089041666667, 1
0.229089875000000, 0
0.229090291666667, 1
0.229090708333333, 0
0.229091541666667, 1
0.229091958333333, 0
0.229092791666667, 1
0.229093208333333, 0
0.229094041666667, 1
0.229094458333333, 0
0.229095291666667, 1
0.229095708333333, 0
0.229096541666667, 1
0.229096958333333, 0
0.229097791666667, 1
0.229098208333333, 0
0.229099041666667, 1
0.229099458333333, 0
0.229100291666667, 1
0.229100708333333, 0
0.229101541666667, 1
0.229101958333333, 0
0.229102791666667, 1
0.229103208333333, 0
0.229104041666667, 1
0.229104458333333, 0
0.229105291666667, 1
0.229105708333333, 0
0.229106541666667, 1
0.229106958333333, 0
0.229107791666667, 1
0.229108208333333, 0
0.229109041666667, 1
0.229109458333333, 0
0.229110291666667, 1
0.229111125000000, 0
0.229111541666667, 1
0.229112375000000, 0
0.229112791666667, 1
0.229113625000000, 0
0.229114041666667, 1
0.229114875000000, 0
0.229115291666667, 1
0.229116125000000, 0
0.229116541666667, 1
0.229117375000000, 0
0.229117791666667, 1
0.229118625000000, 0
0.229119041666667, 1
0.229119875000000, 0
0.229120291666667, 1
0.229120708333333, 0
0.229121541666667, 1
0.229121958333333, 0
0.229122791666667, 1
0.229123208333333, 0
0.229124041666667, 1
0.229124458333333, 0
0.229125291666667, 1
0.229125708333333, 0
0.229126541666667, 1
0.229126958333333, 0
0.229127791666667, 1
0.229128208333333, 0
0.229129041666667, 1
0.229129458333333, 0
0.229130291666667, 1
0.229130708333333, 0
0.229131541666667, 1
0.229131958333333, 0
0.229132791666667, 1
0.229133208333333, 0
