Time[s], Data[Decimal]
1.000000000000000, 0
1.202480750000000, 1
1.202481166666667, 0
1.202482000000000, 1
1.202482416666667, 0
1.202483250000000, 1
1.202483666666667, 0
1.202484500000000, 1
1.202484916666667, 0
1.202485750000000, 1
1.202486166666667, 0
1.202487000000000, 1
1.202487416666667, 0
1.202488250000000, 1
1.202488666666667, 0
1.202489500000000, 1
1.202489916666667, 0
1.202490750000000, 1
1.202491583333333, 0
1.202492000000000, 1
1.202492833333333, 0
1.202493250000000, 1
1.202494083333333, 0
1.202494500000000, 1
1.202495333333333, 0
1.202495750000000, 1
1.202496583333333, 0
1.202497000000000, 1
1.202497833333333, 0
1.202498250000000, 1
1.202499083333333, 0
1.202499500000000, 1
1.202500333333334, 0
1.202500750000000, 1
1.202501166666667, 0
1.202502000000000, 1
1.202502416666667, 0
1.202503250000000, 1
1.202503666666667, 0
1.202504500000000, 1
1.202504916666667, 0
1.202505750000000, 1
1.202506166666667, 0
1.202507000000000, 1
1.202507416666667, 0
1.202508250000000, 1
1.202508666666667, 0
1.202509500000000, 1
1.202509916666667, 0
1.202510750000000, 1
1.202511166666667, 0
1.202512000000000, 1
1.202512416666667, 0
1.202513250000000, 1
1.202513666666667, 0
1.202514500000000, 1
1.202514916666667, 0
1.202515750000000, 1
1.202516166666667, 0
1.202517000000000, 1
1.202517416666667, 0
1.202518250000000, 1
1.202518666666667, 0
1.202519500000000, 1
1.202519916666667, 0
1.202520750000000, 1
1.202521583333333, 0
1.202522000000000, 1
1.202522833333333, 0
1.202523250000000, 1
1.202524083333333, 0
1.202524500000000, 1
1.202525333333333, 0
1.202525750000000, 1
1.202526583333333, 0
1.202527000000000, 1
1.202527833333333, 0
1.202528250000000, 1
1.202529083333333, 0
1.202529500000000, 1
1.202530333333333, 0
1.202530750000000, 1
1.202531166666667, 0
1.202532000000000, 1
1.202532416666667, 0
1.202533250000000, 1
1.202533666666667, 0
1.202534500000000, 1
1.202534916666667, 0
1.202535750000000, 1
1.202536166666667, 0
1.202537000000000, 1
1.202537416666667, 0
1.202538250000000, 1
1.202538666666667, 0
1.202539500000000, 1
1.202539916666667, 0
1.202540750000000, 1
1.202541166666667, 0
1.202542000000000, 1
1.202542416666667, 0
1.202543250000000, 1
1.202543666666667, 0
1.202544500000000, 1
1.202544916666667, 0
1.202545750000000, 1
1.202546166666667, 0
1.202547000000000, 1
1.202547416666667, 0
1.202548250000000, 1
1.202548666666667, 0
1.202549500000000, 1
1.202549916666667, 0
1.202550750000000, 1
1.202551583333333, 0
1.202552000000000, 1
1.202552833333334, 0
1.202553250000000, 1
1.202554083333333, 0
1.202554500000000, 1
1.202555333333333, 0
1.202555750000000, 1
1.202556583333333, 0
1.202557000000000, 1
1.202557833333333, 0
1.202558250000000, 1
1.202559083333334, 0
1.202559500000000, 1
1.202560333333333, 0
1.202560750000000, 1
1.202561166666667, 0
1.202562000000000, 1
1.202562416666667, 0
1.202563250000000, 1
1.202563666666667, 0
1.202564500000000, 1
1.202564916666667, 0
1.202565750000000, 1
1.202566166666667, 0
1.202567000000000, 1
1.202567416666667, 0
1.202568250000000, 1
1.202568666666667, 0
1.202569500000000, 1
1.202569916666667, 0
1.202570750000000, 1
1.202571166666667, 0
1.202572000000000, 1
1.202572416666667, 0
1.202573250000000, 1
1.202573666666667, 0
1.202574500000000, 1
1.202574916666667, 0
1.202575750000000, 1
1.202576166666667, 0
1.202577000000000, 1
1.202577416666667, 0
